"sample_card","sample_pdf","site","latitude","longitude","date","specie","sepal_lenght_cm","sepal_width_cm","petal_lenght_cm","petal_width_cm"
"A1","A18","1",".48.935966","-64.840.984","01_12_1929","Iris setosa",5.1,3.5,1.4,0.3
"A5","A30","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",4.7,3.2,1.6,0.2
"A9","A47","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",4.5,2.3,1.3,0.3
"A37","A28","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",5.2,3.5,1.5,0.2
"A59","A75","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",6.4,2.9,4.3,1.3
"A82","A95","2","48.540.502","-64.766.512","02_12_1929","Iris setosa",5.6,2.7,4.2,1.3
"A88","A64","3","48.329.837","-65.512.333","02_12_1929","Iris setosa",6.1,2.9,4.7,1.4
"A102","A105","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",6.5,3,5.8,2.2
"A105","A114","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",5.7,2.5,5,2
"A109","A126","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",7.2,3.2,6,1.8
"A113","A138","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",6.4,3.1,5.5,1.8
"A114","A141","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",6.7,3.1,5.6,2.4
"A117","A150","1",".48.935966","-64.840.984","02_12_1929","Iris setosa",5.9,3,5.1,1.8
"A118","A101","2","48.540.502","-64.766.512","02_12_1929","Iris setosa",6.3,3.3,6,2.5
"A133","A146","2","48.540.502","-64.766.512","02_12_1929","Iris setosa",6.7,3,5.2,2.3
"A24","A38","2","48.540.502","-64.766.512","13_02_1930","Iris setosa",4.9,3.6,1.4,0.1
"A148","A142","3","48.329.837","-65.512.333","01_12_1929","Iris virginica",6.9,3.1,5.1,2.3
"A70","A59","2","48.540.502","-64.766.512","13_02_1930","Iris versicolor",6.6,2.9,4.6,1.3
"A16","A15","1","48.935.966","-64.840.984","01_12_1929","Iris setosa",5.8,4,1.2,0.2
"A67","A99","1","48.935.966","-64.840.984","01_12_1929","Iris versicolor",5.1,2.5,3,1.1
"A144","A130","3","48.329.837","-65.512.333","01_12_1929","Iris virginica",7.2,3,5.8,1.6
"A92","A76","3","48.329.837","-65.512.333","01_12_1929","Iris versicolor",6.6,3,4.4,1.4
"A108","A123","1","48.935.966","-64.840.984","01_12_1929","Iris virginica",7.7,2.8,6.7,2
"A112","A135","1","48.935.966","-64.840.984","01_12_1929","Iris virginica",6.1,2.6,5.6,1.4
"A81","A92","2","48.540.502","-64.766.512","13_02_1930","Iris versicolor",6.1,3,4.6,1.4
"A51","A51","1","48.935.966","-64.840.984","01_12_1929","Iris versicolor",7,3.2,4.7,1.4
"A75","A74","2","48.540.502","-64.766.512","13_02_1930","Iris versicolor",6.1,2.8,4.7,1.2
"A32","A11","2","48.540.502","-64.766.512","13_02_1930","Iris setosa",5.4,3.7,1.5,0.2
"A34","A19","3","48.329.837","-65.512.333","01_12_1929","Iris setosa",5.7,3.8,1.7,0.3
"A52","A54","1","48.935.966","-64.840.984","01_12_1929","Iris versicolor",5.5,2.3,4,1.3
"A2","A21","1","48.935966","-64.840984","01_12_1929","Iris setosa",5.4,3.4,1.7,0.2
"A6","A33","1","48.935966","-64.840984","01_12_1929","Iris setosa",5.2,4.1,1.5,0.1
"A8","A39","1","48.935966","-64.840984","01_12_1929","Iris setosa",4.4,3,1.3,0.2
"A19","A23","2","48.540502","-64.766512","13_02_1930","Iris setosa",4.6,3.6,1,0.2
"A28","A50","2","48.540502","-64.766512","13_02_1930","Iris setosa",5,3.3,1.4,0.2
"A30","A5","2","48.540502","-64.766512","13_02_1930","Iris setosa",5,3.6,1.4,0.2
"A35","A22","3","48.329837","-65.512333","01_12_1929","Iris setosa",5.1,3.7,1.5,0.4
"A43","A46","3","48.329837","-65.512333","01_12_1929","Iris setosa",4.8,3,1.4,0.3
"A74","A71","2","48.540502","-64.766512","13_02_1930","Iris versicolor",5.9,3.2,4.8,1.8
"A94","A82","3","48.329837","-65.512333","01_12_1929","Iris versicolor",5.5,2.4,3.7,1
"A99","A97","3","48.329837","-65.512333","01_12_1929","Iris versicolor",5.7,2.9,4.2,1.3
"A119","A104","2","48.540502","-64.766512","13_02_1930","Iris virginica",6.3,2.9,5.6,1.8
"A125","A122","2","48.540502","-64.766512","13_02_1930","Iris virginica",5.6,2.8,4.9,2
"A126","A125","2","48.540502","-64.766512","13_02_1930","Iris virginica",6.7,3.3,5.7,2.1
"A138","A112","3","48.329837","-65.512333","01_12_1929","Iris virginica",6.4,2.7,5.3,1.9
"A15","A16","1","48.935966","-64.840984","1_12_1929","Iris setosa",5.8,4,1.2,0.2
"A21","A2","1","48.935966","-64.840984","1_12_1929","Iris setosa",5.4,3.4,1.7,0.2
"A40","A41","2","48.329837","-65.512333","1_12_1929","Iris setosa",5.1,3.4,1.5,0.2
"A49","A44","2","48.329837","-65.512333","1_12_1929","Iris setosa",5.3,3.7,1.5,0.2
"A56","A69","2","48.540502","-64.766512","13_2_1930","Iris versicolor",5.7,2.8,4.5,1.3
"A58","A86","2","48.329837","-65.512333","1_12_1929","Iris versicolor",4.9,2.4,3.3,1
"A62","A71","2","48.540502","-64.766512","13_2_1930","Iris versicolor",5.9,3,4.2,1.5
"A90","A64","1","48.935966","-64.840984","1_12_1929","Iris versicolor",5.5,2.5,4,1.3
"A101","A118","2","48.540502","-64.766512","13_2_1930","Iris virginica",6.3,3.3,6,2.5
"A107","A120","2","48.540502","-64.766512","13_2_1930","Iris virginica",4.9,2.5,4.5,1.7
"A115","A139","2","48.329837","-65.512333","1_12_1929","Iris virginica",5.8,2.8,5.1,2.4
"A116","A123","2","48.540502","-64.766512","13_2_1930","Iris virginica",6.4,3.2,5.3,2.3
"A121","A141","2","48.329837","-65.512333","1_12_1929","Iris virginica",6.9,3.2,5.7,2.3
"A127","A143","2","48.329837","-65.512333","1_12_1929","Iris virginica",6.2,2.8,4.8,1.8
"A140","A131","2","48.540502","-64.766512","13_2_1930","Iris virginica",6.9,3.1,5.4,2.1
