"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-48.607901,-26.794262,NA,"Lottia subrugosa"
"gbif",-48.673657,-26.757459,NA,"Lottia subrugosa"
"gbif",-40.273276,-20.333822,NA,"Lottia subrugosa"
"gbif",-41.873941,-22.740769,NA,"Lottia subrugosa"
"gbif",-41.873956,-22.740777,NA,"Lottia subrugosa"
"gbif",-45.443303,-23.831261,NA,"Lottia subrugosa"
"gbif",-43.047227,-22.974237,NA,"Lottia subrugosa"
"gbif",-40.635281,-20.819607,NA,"Lottia subrugosa"
"gbif",-38.345527,-12.952108,NA,"Lottia subrugosa"
"gbif",-37.963237,-12.49101,NA,"Lottia subrugosa"
"gbif",-40.290377,-20.287377,NA,"Lottia subrugosa"
"gbif",-45.728882,-23.769028,NA,"Lottia subrugosa"
"gbif",-34.824727,-7.905661,NA,"Lottia subrugosa"
"gbif",-37.541161,-11.803522,NA,"Lottia subrugosa"
"gbif",-38.987399,-14.275432,NA,"Lottia subrugosa"
"gbif",-38.34693,-12.952894,NA,"Lottia subrugosa"
"gbif",-48.536797,-25.8505,NA,"Lottia subrugosa"
"gbif",-48.624338,-28.018342,NA,"Lottia subrugosa"
"gbif",-34.994426,-6.372035,NA,"Lottia subrugosa"
"gbif",-45.787064,-23.765219,NA,"Lottia subrugosa"
"gbif",-48.666576,-26.76894,NA,"Lottia subrugosa"
"gbif",-54.141764,-34.65035,NA,"Lottia subrugosa"
"gbif",-54.141211,-34.655383,NA,"Lottia subrugosa"
"gbif",-46.135487,-23.871885,NA,"Lottia subrugosa"
"gbif",-48.500476,-27.749747,NA,"Lottia subrugosa"
"gbif",-40.273368,-20.333561,NA,"Lottia subrugosa"
"gbif",-45.366481,-23.815839,NA,"Lottia subrugosa"
"gbif",-43.192061,-23.069393,NA,"Lottia subrugosa"
"gbif",-43.19163,-23.029296,NA,"Lottia subrugosa"
"gbif",-49.73311,-29.35836,NA,"Lottia subrugosa"
"gbif",-48.57822,-27.8825,NA,"Lottia subrugosa"
"gbif",-48.58844,-27.86506,NA,"Lottia subrugosa"
"gbif",-49.72847,-29.34708,NA,"Lottia subrugosa"
"gbif",-49.73072,-29.35167,NA,"Lottia subrugosa"
"gbif",-48.58047,-27.85,NA,"Lottia subrugosa"
"gbif",-54.95441,-34.96959,NA,"Lottia subrugosa"
"gbif",-53.53014,-33.97529,NA,"Lottia subrugosa"
"gbif",-54.95469,-34.966,NA,"Lottia subrugosa"
"gbif",-53.53606,-34.04621,NA,"Lottia subrugosa"
"gbif",-46.36778,-23.98167,NA,"Lottia subrugosa"
"gbif",-45.44361,-23.83194,NA,"Lottia subrugosa"
"gbif",-45.42361,-23.82917,NA,"Lottia subrugosa"
"gbif",-45.04528,-23.45111,NA,"Lottia subrugosa"
"gbif",-46.29083,-24.02028,NA,"Lottia subrugosa"
"gbif",-46.39167,-24.00028,NA,"Lottia subrugosa"
"gbif",-45.41,-23.84361,NA,"Lottia subrugosa"
"gbif",-45.05972,-23.46694,NA,"Lottia subrugosa"
"gbif",-38.60881,-3.68922,NA,"Lottia subrugosa"
"gbif",-38.6235,-3.68917,NA,"Lottia subrugosa"
"gbif",-43.164415,-22.955262,NA,"Lottia subrugosa"
"gbif",-44.391002,-23.102463,NA,"Lottia subrugosa"
"gbif",-44.149452,-23.130541,NA,"Lottia subrugosa"
"gbif",-44.119322,-23.151222,NA,"Lottia subrugosa"
"gbif",-44.092591,-23.173405,NA,"Lottia subrugosa"
"gbif",-44.643955,-23.189472,NA,"Lottia subrugosa"
"gbif",-44.679655,-23.220375,NA,"Lottia subrugosa"
"gbif",-44.417469,-23.057663,NA,"Lottia subrugosa"
"gbif",-44.377611,-23.03125,NA,"Lottia subrugosa"
"gbif",-44.613569,-23.051333,NA,"Lottia subrugosa"
"gbif",-44.43565,-23.01803,NA,"Lottia subrugosa"
"gbif",-44.287,-23.025472,NA,"Lottia subrugosa"
"gbif",-44.269444,-23.05425,NA,"Lottia subrugosa"
"gbif",-44.309222,-23.026555,NA,"Lottia subrugosa"
"gbif",-44.354361,-22.985333,NA,"Lottia subrugosa"
"gbif",-44.408916,-22.989916,NA,"Lottia subrugosa"
"gbif",-44.341027,-22.979444,NA,"Lottia subrugosa"
"gbif",-44.4285,-22.994944,NA,"Lottia subrugosa"
"gbif",-44.368333,-22.966361,NA,"Lottia subrugosa"
"gbif",-44.414555,-22.967888,NA,"Lottia subrugosa"
"gbif",-44.440638,-23.016611,NA,"Lottia subrugosa"
"gbif",-44.400366,-23.026144,NA,"Lottia subrugosa"
"gbif",-43.908557,-22.935141,NA,"Lottia subrugosa"
"gbif",-45.069722,-23.430278,NA,"Lottia subrugosa"
"gbif",-40.266581,-20.267271,NA,"Lottia subrugosa"
"gbif",-42.007169,-22.969938,NA,"Lottia subrugosa"
"gbif",-38.912461,-13.377105,NA,"Lottia subrugosa"
"gbif",-43.98814,-23.052527,NA,"Lottia subrugosa"
"gbif",-43.155411,-22.945634,NA,"Lottia subrugosa"
"gbif",-43.163419,-22.947783,NA,"Lottia subrugosa"
"gbif",-43.170767,-22.927747,NA,"Lottia subrugosa"
"gbif",-43.466072,-23.031378,NA,"Lottia subrugosa"
"gbif",-43.33143,-23.011896,NA,"Lottia subrugosa"
"gbif",-43.530313,-23.051096,NA,"Lottia subrugosa"
"gbif",-43.181324,-22.971377,NA,"Lottia subrugosa"
"gbif",-44.054622,-22.953216,NA,"Lottia subrugosa"
"gbif",-45.409722,-23.620278,NA,"Lottia subrugosa"
"gbif",-38.9,-18.925,25,"Lottia subrugosa"
"gbif",-54.152,-34.669,NA,"Lottia subrugosa"
"gbif",-54.159,-34.667,NA,"Lottia subrugosa"
"gbif",-34.92,-8.178,NA,"Lottia subrugosa"
"gbif",-44.044065,-22.948262,NA,"Lottia subrugosa"
"gbif",-48.570633,-27.690929,NA,"Lottia subrugosa"
"gbif",-41.854673,-22.450794,NA,"Lottia subrugosa"
"gbif",-41.875394,-22.741431,NA,"Lottia subrugosa"
"gbif",-43.130857,-22.909171,NA,"Lottia subrugosa"
"gbif",-44.161981,-23.130858,NA,"Lottia subrugosa"
"gbif",-38.341808,-12.950106,NA,"Lottia subrugosa"
"gbif",-38.366635,-12.958743,NA,"Lottia subrugosa"
"gbif",-42.004938,-22.999727,NA,"Lottia subrugosa"
"gbif",-43.164385,-22.947008,3,"Lottia subrugosa"
"gbif",-54.8715,-34.9103,NA,"Lottia subrugosa"
"gbif",-46.189824,-0.990917,NA,"Lottia subrugosa"
"gbif",-43.046362,-22.970653,NA,"Lottia subrugosa"
"gbif",-46.672357,-24.483111,NA,"Lottia subrugosa"
"gbif",-41.981718,-22.869573,NA,"Lottia subrugosa"
"gbif",-43.988103,-22.936934,NA,"Lottia subrugosa"
"gbif",-35.581327,-9.507852,NA,"Lottia subrugosa"
"gbif",-44.033797,-22.999407,NA,"Lottia subrugosa"
"gbif",-54.184863,-34.660843,NA,"Lottia subrugosa"
"gbif",-43.048894,-23.966089,NA,"Lottia subrugosa"
"gbif",-35.087689,-8.733911,NA,"Lottia subrugosa"
"gbif",-35.086789,-8.741271,NA,"Lottia subrugosa"
"gbif",-54.174134,-34.664196,NA,"Lottia subrugosa"
"gbif",-44.023446,-22.959968,NA,"Lottia subrugosa"
"gbif",-43.988573,-22.939632,NA,"Lottia subrugosa"
"gbif",-44.158318,-23.146248,NA,"Lottia subrugosa"
"gbif",-43.083977,-22.955295,NA,"Lottia subrugosa"
"gbif",-43.112418,-22.933531,NA,"Lottia subrugosa"
"gbif",-41.985568,-22.862302,NA,"Lottia subrugosa"
"gbif",-43.572674,-23.064392,NA,"Lottia subrugosa"
"gbif",-43.554553,-23.073275,NA,"Lottia subrugosa"
"gbif",-43.048894,-22.966089,NA,"Lottia subrugosa"
"gbif",-43.569651,-23.068031,NA,"Lottia subrugosa"
"gbif",-42.014374,-22.914038,NA,"Lottia subrugosa"
"gbif",-44.162843,-23.131089,NA,"Lottia subrugosa"
"gbif",-43.172662,-22.917726,NA,"Lottia subrugosa"
"gbif",-43.135214,-22.905513,NA,"Lottia subrugosa"
"gbif",-41.770094,-22.381637,NA,"Lottia subrugosa"
"gbif",-42.824097,-22.422754,NA,"Lottia subrugosa"
"gbif",-43.180732,-22.969012,NA,"Lottia subrugosa"
"gbif",-46.783333,-24.183333,NA,"Lottia subrugosa"
"gbif",-38.7,-13,NA,"Lottia subrugosa"
"gbif",-48.983333,-1.883333,NA,"Lottia subrugosa"
"gbif",-43.23333,-22.9,NA,"Lottia subrugosa"
"gbif",-55,-34.91,NA,"Lottia subrugosa"
"gbif",-35.547003,-9.462858,NA,"Lottia subrugosa"
"gbif",-38.524671,-13.010158,NA,"Lottia subrugosa"
"gbif",-48.533333,-27.316667,NA,"Lottia subrugosa"
"gbif",-54.17,-34.66,NA,"Lottia subrugosa"
"gbif",-52.4,-32.6,NA,"Lottia subrugosa"
